Urun,Kaynak,Yazar,Yorum,Begeni,Tarih,Temiz_Yorum,Skor,Etiket,Hedef
Dyson Supurge,YouTube,@GözdeUludağ-f1h,Arkadaşlar ben de yeni aldım bir aya yakın oldu neredeyse her gün kullanıyorum performansı gayet başarılı Sadece biraz nazik davranmak gerekiyor şu anlık Her şey iyi gidiyor umarım böyle de devam eder 😊,0,2025-09-26T09:10:12Z,arkadaş yeni aldım aya yakın oldu neredeyse her gün kullanıyorum performansı gayet başarılı sadece biraz nazik davranmak gerekiyor anlık her iyi gidiyor umarım devam eder,1.0,Olumlu,1
AirPods Pro,Twitter (Simulated),@user_22069,@SamsungTurkiye Merhaba iyi günler airposd aldım ve çokda memnunum malisef çalıştığım ortam çok tozlu ve çok makine var cebimde taşıyorum kulaklığımı ne kadar dikkat etsem de demir tozu oluyor mıtlatız dan dolayı buna nasıl engel olabilirim bu çıkan kılıf veya korumaların faydası olur mu şimd...,1,2023-11-02T07:38:46Z,samsungturkiye merhaba iyi gün airposd aldım çokda memnunum malisef çalıştığım ortam tozlu makine cebimde taşıyorum kulaklığı dikkat etsem demir tozu oluyor mıtlatız dan dolayı buna nasıl engel olabilir çıkan kılıf veya korumaların faydası olur şimd,1.0,Olumlu,1
iPhone 15,YouTube,@Mert12080,7-8 ay sonra 15 almayı düşünüyorum normal kullanıcıyım arada oyun oynarım 15 pro daha iyi tabi ama şu an arada 30k fark var abi,2,2024-11-24T15:15:23Z,sonra almayı düşünüyorum normal kullanıcıyım arada oyun oynarım pro iyi tabi arada fark abi,1.0,Olumlu,1
AirPods Pro,YouTube,@TheCem76,Kral çekmek istemediğini beli ediyorsun zaten ! Keşke de çekmeseydin çok isteksiz anlatıyorsun.,0,2024-05-23T05:08:09Z,kral çekmek istemediğini beli ediyors zaten keşke çekmeseydin isteksiz anlatıyors,1.0,Olumlu,1
iPhone 15,YouTube,@emrecik09,"Marka sevgisi bir yana doğruları söylemek lazım. 
Bu yılda fanlardan oha öküz gibi yenilikler abi diyenleri gördük.
Çok başarılı bir video ellerinize sağlık.",11,2023-10-26T12:02:39Z,marka sevgisi yana doğruları söylemek lazım yılda fanlar oha öküz yenilik abi diyenleri gördük başarılı video ellerinize sağlık,1.0,Olumlu,1
Dyson Supurge,Twitter (Simulated),@user_45373," Senin saydığın markalar beş para etmez ama dyson daha iyisi var Samsung un dikey süpürgesi, bu arada dyson v11 kullaniyoruz ama samsung çok daha iyi.",49,2024-01-25T11:53:04Z,senin saydığın marka beş para etmez dyson iyisi samsung dikey süpürgesi arada dyson kullaniyoruz samsung iyi,1.0,Olumlu,1
MacBook Air,YouTube,@edenbul6140,Macbook air m4 almayı düşünüyorum. Ssd her türlü 1tb alacağım. Fakat ram konusunda 24 mü yoksa 36 GB mı almamı tavsiye edersiniz?,0,2025-04-21T10:36:19Z,macbook air almayı düşünüyorum ssd her türlü alacağım ram konusunda yoksa alma tavsiye eder,1.0,Olumlu,1
iPhone 15,Twitter (Simulated),@user_29392, iphone 14 pro bundan daha iyi onda 120hz ekran always on sürekli açık ekran var. işlemci aynı ram aynı neden 14 pro yerine düz 15 alayım ki ?,94,2023-10-05T15:02:21Z,iphone pro bun iyi onda ekran always sürekli açık ekran işlemci aynı ram aynı neden pro yerine düz alayım,1.0,Olumlu,1
AirPods Pro,YouTube,@suleymanayaz8909,A dan Z ye bütün İncelemelerin çok iyi 👍🏻,2,2020-01-25T19:45:42Z,dan büt incelemelerin iyi,1.0,Olumlu,1
Dyson Supurge,YouTube,@zelihasahbaz312,"Oglum,dan doğum günü hediyesi aldım 
Gerçekten cook memnunum cekim gücü mükemmel",1,2024-04-26T09:05:58Z,oglum doğum günü hediyesi aldım gerçekten cook memnunum cek gücü mükemmel,1.0,Olumlu,1
iPhone 15,YouTube,@hellns02,ben xiaomiden iphonea geçeceğim ancak model olarak 13 14 15 arasında çok kaldım. Benim için önemli olan şarjının beni gün içinde idare etmesi ve kamerasının güzel olması çünkü gün içinde sık sık fotoğraf video çeken biriyim. insanlara sorduğumda 14 hiç almayın ya 13 ya 15 arasında düşünün diyorlar. bu yorumu gören kişiler de bir fikir belirtirse çok memnun olurum cidden.,4,2023-11-11T18:06:38Z,xiaomi iphonea geçeceğ model olarak arasında kaldım ben önemli olan şarjı beni gün içinde idare etmesi kamerası güzel olması çünkü gün içinde sık sık fotoğraf video çeken biriy insanlara sorduğumda hiç almayın arasında düşün diyor yorumu gören kişi fikir belirtirse memn olurum cid,1.0,Olumlu,1
Samsung S24,YouTube,@guclusargn,S24 FE almayı düşünüyorum. S24 Plus ile arasında kararsız kaldım. 10000 TL fark var arasında. Tavsiyeniz ne olur. Şimdiden teşekkür ederim.,0,2024-10-26T08:07:11Z,almayı düşünüyorum plus arasında kararsız kaldım fark arasında tavsiyeniz olur şimdi teşekkür eder,1.0,Olumlu,1
iPhone 15,YouTube,@mustafa1slam502,Merhabalar abi ısınma var mı? Kronik ısınmadan bahsediyorlar 45 50 dereceleri bulan,0,2024-05-09T10:20:42Z,merhaba abi ısınma kronik ısınma bahsediyor dereceleri bulan,-1.0,Olumsuz,0
iPhone 15,YouTube,@cemallise2686,iPhone 13 Pro nun her anlamda daha iyi olması şaka mı,0,2024-02-29T21:26:22Z,iphone pro nun her anlamda iyi olması şaka,1.0,Olumlu,1
Samsung S24,YouTube,@bet4l.,Yorumlarda bahsi geçen ısınma ne kadar ısınıyo telefon illa ısınır da çok mu sıcaklasıyo,2,2025-08-30T21:46:06Z,yorumlarda bahsi geçen ısınma ısınıyo telefon illa ısınır sıcaklasıyo,-1.0,Olumsuz,0
AirPods Pro,YouTube,@NDRCOD,En iyi iPad pro kulaklık incelemesi süpersin Alp bey,0,2020-01-25T17:48:03Z,iyi ipad pro kulaklık incelemesi süper alp bey,1.0,Olumlu,1
Dyson Supurge,Instagram (Simulated),insta_user_2490,"😍 Kötü haber, artık 27000 TL değil. #inceleme",176,2024-02-05T18:01:41Z,kötü haber artık değil inceleme,-1.0,Olumsuz,0
AirPods Pro,Instagram (Simulated),insta_user_2780,💩 Ben gayet memnunum alışmak biraz zaman aldı gürültü engelleme çok iyi #tech,320,2020-01-25T18:38:35Z,gayet memnunum alışmak biraz zaman aldı gürültü engelleme iyi tech,1.0,Olumlu,1
Samsung S24,YouTube,@ugurcancelebi1755,İPhone 13 kullanıyorum iki yıldır s24 e geçince sorun olur mu ?,0,2024-12-12T11:20:21Z,iphone kullanıyorum iki yıldır geçince sor olur,-1.0,Olumsuz,0
Dyson Supurge,YouTube,@muhteremsahin6391,"Senin saydığın markalar beş para etmez ama dyson daha iyisi var Samsung un dikey süpürgesi, bu arada dyson v11 kullaniyoruz ama samsung çok daha iyi.",0,2024-01-25T11:53:04Z,senin saydığın marka beş para etmez dyson iyisi samsung dikey süpürgesi arada dyson kullaniyoruz samsung iyi,1.0,Olumlu,1
